year,province_en,province_cn,assessment_status,actual_total_rate,actual_nonhydro_rate,total_weight_binding,nonhydro_weight_binding,total_gap,nonhydro_gap,met_total,met_nonhydro,wind_curtailment_pct,solar_curtailment_pct,gdp,gdp_per_capita,population_year_end,primary_industry,secondary_industry,tertiary_industry,retail_sales,secondary_industry_share,tertiary_industry_share,hydro_capacity,thermal_capacity,wind_capacity,solar_capacity,wind_generation,solar_generation,wind_util_hours,solar_util_hours,total_electricity_consumption,interprovincial_export,cross_province_outflow_gwh_cross_province_outflow,electricity_generation_gwh_hydro,electricity_generation_gwh_solar,electricity_generation_gwh_thermal,electricity_generation_gwh_total,electricity_generation_gwh_wind,grid_investment_million_yuan_grid,installed_capacity_mw_hydro,installed_capacity_mw_solar,installed_capacity_mw_thermal,installed_capacity_mw_total,installed_capacity_mw_wind,line_loss_rate_pct_grid_company,new_generation_capacity_mw_solar,new_generation_capacity_mw_thermal,new_generation_capacity_mw_total,new_generation_capacity_mw_wind,total_electricity_consumption_gwh_total,transformer_capacity_35kv_plus_mva_35kv_plus_total,transmission_line_length_35kv_plus_km_35kv_plus,utilization_hours_hydro,utilization_hours_solar,utilization_hours_thermal,utilization_hours_total,utilization_hours_wind,wind_utilization_rate,solar_utilization_rate,nonhydro_weight_expected,nonhydro_weight_incentive,total_weight_expected,total_weight_incentive,actual_total_qty,total_exceed,total_target_status,nonhydro_target_status,assessed,electricity_consumption_macro,energy_industry_investment,fa_investment_growth,fiscal_expenditure,fiscal_revenue,highway_mileage,industrial_value_added,infra_investment_growth,manufacturing_investment_growth,power_investment_growth,railway_mileage,rd_expenditure,resident_population,total_import_export,urban_population,urbanization_rate,total_generation_macro,state_power_invest_macro,hydro_generation_macro,thermal_generation_macro,coal_consumption_macro,power_steam_hotwater_invest_macro,electricity_consumption_macro2,energy_industry_invest_macro,delta_target_pp,distributed_solar_capacity_mw,line_loss_amount_gwh,line_loss_rate_pct_yb,power_sales_gwh,power_supply_gwh,cross_province_export_gwh,cross_province_export_growth,transmission_line_35kv_plus_circuit_km,transmission_line_35kv_plus_pole_km,transformer_35kv_plus_total_mva,transformer_35kv_plus_self_mva,transformer_35kv_plus_station_mva,new_capacity_total_mw,new_capacity_hydro_mw,new_capacity_thermal_mw,new_capacity_wind_mw,new_capacity_solar_mw,power_invest_total_million_yuan,power_invest_hydro_million_yuan,power_invest_thermal_million_yuan,power_invest_planned_completion_million_yuan,power_invest_cumulative_million_yuan,coal_consumption_rate_g_kwh,util_hours_wind_6000kw,util_hours_hydro_6000kw,util_hours_thermal_6000kw,so2_emission_10k_tons,green_coverage_pct,forest_coverage_pct,above_scale_industrial_profit,above_scale_industrial_revenue,above_scale_industrial_enterprise_num,above_scale_industrial_assets,fixed_asset_investment,real_estate_investment,manufacturing_investment,highway_mileage_macro,railway_mileage_macro,post_telecom_business_volume,total_import_export_macro,export_total,import_total,resident_population_macro,urban_population_macro,population_density,fiscal_revenue_macro,fiscal_expenditure_macro,energy_intensity,total_generation_macro2,thermal_generation_macro2,hydro_generation_macro2,coal_consumption_macro2,nonhydro_weight_binding_2025,delta_total_target,delta_nonhydro_target,wind_capacity_mw,solar_capacity_mw,wind_cap_growth_pct,solar_cap_growth_pct,wind_generation_twh,solar_generation_twh,total_generation_twh,re_share_of_generation,wind_utilization_hours,solar_utilization_hours,total_consumption_twh,consumption_growth_pct,cross_provincial_export_mwkwh,export_ratio_pct,gdp_growth_pct,electricity_intensity,per_capita_consumption,energy_fixed_invest_100myuan,industrial_value_added_100myuan,coal_consumption_10kton,so2_emission_ton,wastewater_emission_10kton,total_trade_1000usd,fiscal_revenue_100myuan,fiscal_expenditure_100myuan,foreign_investment_100myuan,urban_population_10k,highway_km,natural_gas_consumption,power_sector_invest_100myuan,power_invest_growth_pct,pollution_control_invest,pollution_control_invest_10kyuan,v4_assessment_status,v4_met_total,v4_met_nonhydro,v4_total_gap,v4_nonhydro_gap,v4_total_weight_binding,v4_secondary_industry_share,yb_cross_region_outflow_gwh,yb_heat_supply_capacity_mw,yb_heat_supply_gj,yb_new_transmission_line_110kv_km,yb_power_project_construction_scale_mw,yb_power_project_new_started_mw,yb_power_project_under_construction_mw,yb_transformer_capacity_110kv_mva,green_power_pct_cement,green_power_pct_data_center,green_power_pct_electrolytic_aluminum,green_power_pct_polysilicon,green_power_pct_steel,sample_scope,rps_total_weight_binding,rps_total_weight_expected,rps_nonhydro_weight_binding,rps_nonhydro_weight_expected,solar_cf_mean,solar_cf_cv,wind_cf_mean,wind_cf_cv,delta_target_i,yb_power_project_construction_scale_cap10kw,yb_power_project_new_started_cap10kw,yb_power_project_under_construction_cap10kw
2015,Anhui,,pre_rps,9.6,3.9,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.0,11008.7,7660.0,33.79,256868.0,168845931.0,2544.24,4001.58,5465.0,2519.0,10.46,,378.0,,526.6,446910.0,,,,,,,,,,,,,,,,,,,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,,,
2016,Anhui,,pre_rps,12.3,6.1,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.98,4357.1,36675.0,56.95,104696.0,11640301.0,2016.43,4512.71,284.0,1544.0,19.61,0.27,824.66,,756.5,406191.0,,,,,,,,4673527.0,1279.0,48570954.0,4042.0,319.0,161.0,318.0,1570.0,,,,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,,,
2017,Anhui,安徽,pre-rps,14.3,8.8,,,,,,,,,29676.2,49092.0,6057.0,2582.3,12681.2,14412.7,14328.8,0.4273188615793127,0.4856652805952244,310.0,5053.0,217.0,888.0,41.0,62.0,2006.0,992.0,1921.0,5549967.0,5549967.0,57.0,62.0,2311.0,2470.0,41.0,2258110.0,310.0,888.0,5053.0,6468.0,217.0,7.18,758.0,148.0,965.0,43.0,1921.0,3196.0,70021.0,1786.0,992.0,4595.0,4099.0,2006.0,,,,,,,274.0,,,,,1921.48,1081.02,6.6,6203.81,2812.45,20.33,9739.9,,,,0.43,4361175.0,6057.0,54021626.0,3288.0,0.54284299157999,2456.28,322.0,52.97,2318.32,16084.62,1000.21,1921.48,1081.02,3.8000000000000007,,115.0,7.18,1483.0,1598.0,5549967.0,18.75,70021.0,61174.0,3196.0,1267.0,373.0,965.0,16.0,148.0,43.0,758.0,830175.0,117625.0,382874.0,827848.0,1985535.0,145.39999999999998,2006.0,1786.0,4595.0,19.54,42.2,28.7,2352.44,43110.37,18883.0,35039.74,6.6,5612.47,,0.42,0.43,,16977630.0,9196643.0,20980620.0,6057.0,3288.0,2535.0,2812.45,6203.81,-5.3,2456.28,2318.32,52.97,16084.62,0.243,,,133.0,814.0,,,25.0,56.0,814.0,9.950859950859952,1879.6992481203008,687.960687960688,4193.0,,1604826.0,3.8273932745051273,,141.2916748101172,692.2568928512464,164.0,2020.5,6361.0,13.13,,4826333.0,815.73,3304.44,146.0,1214.0,14.23,0.6,143.0,,443.5,74957.0,assessed,,,,,,0.4273188615793127,5549967.0,1262.0,43967758.0,1819.0,350.0,165.0,332.0,822.0,,,,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,,,
2018,Anhui,安徽,binding,14.9,11.0,13.0,9.5,,,0.0,0.0,0.0,0.0,34010.9,56063.0,6076.0,2638.0,14094.4,17278.5,16156.2,0.4144083220379349,0.5080283085716638,312.0,5413.0,246.0,1118.0,50.0,104.0,2150.0,1065.0,2135.0,6458139.0,6458139.0,53.0,104.0,2519.0,2726.0,50.0,3109383.0,312.0,1118.0,5413.0,7089.0,246.0,6.94,345.0,353.0,724.0,24.0,2135.0,3285.0,73017.0,1674.0,1065.0,5005.0,4327.0,2150.0,,,,10.5,,14.3,317.06,1.9,完成,完成,1.0,2135.07,,11.8,6572.15,3048.67,20.88,10639.8,7.0,33.3,-19.4,0.43,4973027.0,6076.0,62840317.0,3381.0,0.5564516129032258,2734.49,,53.84,2533.74,16673.06,,2135.07,,3.8000000000000007,238.5,125.0,6.94,1672.0,1797.0,6458139.0,16.36,73017.0,64944.0,3285.0,1300.0,382.0,724.0,2.0,353.0,24.0,345.0,842611.0,185409.0,493365.0,924113.0,2139712.0,140.15,2150.0,1674.0,5005.0,16.27,42.5,28.7,2448.2,39354.9,19421.0,37599.7,11.8,5974.11,33.3,0.49,0.43,,19429934.0,10728827.0,22915911.0,6076.0,3381.0,2599.0,3048.67,6572.15,,2734.49,2533.74,53.84,16673.06,0.243,,,148.0,1138.0,13.364055299539167,25.900900900900893,31.0,100.0,1138.0,11.511423550087873,2094.5945945945946,878.7346221441124,4533.0,11.14003123373244,2065036.0,4.555561438341055,14.606654490804072,133.28080115492386,746.0500329163924,,5101.9,7340.0,10.06,,62302266.0,1681.45,5310.74,,2564.0,12.54,0.19,,-13.4,586.7,58273.0,assessed,,,,,,0.4144083220379349,6458139.0,1643.0,15811284.0,3559.0,209.0,13.0,202.0,1278.0,,,,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,,,
2019,Anhui,安徽,binding,15.7,12.3,13.5,10.5,,,0.0,0.0,0.0,0.0,36845.5,60561.0,6092.0,2916.0,14970.0,18959.5,17689.2,0.4062911346025973,0.5145675862724077,345.0,5521.0,274.0,1254.0,47.0,125.0,1809.0,1102.0,2301.0,7294943.0,7294943.0,51.0,125.0,2657.0,2880.0,47.0,1461847.0,345.0,1254.0,5521.0,7394.0,274.0,6.7,137.0,140.0,343.0,30.0,2301.0,3402.0,77308.0,1435.0,1102.0,4838.0,4155.0,1809.0,,,,11.6,,14.9,363.0,2.2,完成,完成,1.0,2301.0,,9.2,7392.22,3182.71,21.83,11181.7,13.1,10.1,-3.7,0.48,5765371.0,6092.0,68730324.0,3474.0,0.5702560735390676,2886.67,,51.09,2663.97,16699.74,,2301.0,,3.8000000000000007,263.0,131.0,6.7,1822.0,1953.0,7294943.0,12.96,77308.0,68136.0,3402.0,1316.0,409.0,343.0,36.0,140.0,30.0,137.0,655360.0,176099.0,252138.0,661332.0,1769211.0,152.2,1809.0,1435.0,4838.0,15.1,42.7,,2254.3,,17761.0,38346.46,9.2,6670.48,10.1,0.54,0.48,,19554196.0,11247991.0,23923379.0,6092.0,3474.0,2663.0,3182.71,7392.22,,2886.67,2663.97,51.09,16699.74,0.243,,,160.0,1339.0,11.382113821138207,12.164579606440062,33.0,119.0,1339.0,11.35175504107543,2062.5,888.722927557879,4706.0,7.775175644028098,2112465.0,4.488875903102422,8.334386917135394,127.72251699664815,772.4885095206829,,11181.7,16700.0,15.1,,68730324.0,3182.71,7392.22,1057.0,3474.0,21.83,2.12,,-3.7,437.7,270492.0,assessed,,,,,,0.4062911346025973,7294943.0,2399.0,19064305.0,5320.0,344.0,114.0,344.0,2122.0,,,,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,,,
2020,Anhui,安徽,binding,17.6,13.6,15.0,12.5,,,0.0,0.0,0.0,0.0,38061.5,62411.0,6105.0,3185.0,15216.5,19660.1,17991.2,0.399787186527068,0.5165350813814484,474.0,5561.0,412.0,1370.0,57.0,130.0,1819.0,1071.0,2428.0,7821715.0,7821715.0,66.0,130.0,2531.0,2785.0,57.0,1461847.0,474.0,1370.0,5561.0,7816.0,412.0,6.2,116.0,61.0,446.0,134.0,2428.0,3493.0,83036.0,1673.0,1071.0,4577.0,3912.0,1819.0,,,,13.8,,16.7,427.0,2.6,完成,完成,1.0,2428.0,,5.1,7473.59,3216.01,23.65,11235.5,10.6,-5.6,11.9,0.53,6394211.0,6105.0,78704041.0,3561.0,0.5832923832923833,2808.98,,66.21,2555.84,,,2428.0,,3.8000000000000007,294.5,127.0,6.2,1919.0,2046.0,7821715.0,7.22,83036.0,70608.0,3493.0,1340.0,292.0,446.0,136.0,61.0,134.0,116.0,809648.0,230996.0,208521.0,787370.0,3079549.0,149.55,1819.0,1673.0,4577.0,10.86,42.0,,2439.55,,18447.0,43846.63,5.1,7042.29,-5.6,0.58,0.53,,22400270.0,12564255.0,27444449.0,6105.0,3561.0,2655.0,3216.01,7473.59,,2808.98,2555.84,66.21,,0.243,,,412.0,887.0,50.364963503649626,9.250398724082931,56.76,130.16,2809.0,,,,2428.0,5.519339417644509,7821715.0,,3.300267332510076,63.7914953430632,397.7067977067977,,6768.5,,16.05,,21842015.0,2296.57,5110.87,496.0,2182.0,14.43,85.93,,20.4,208.4,284910.0,assessed,1.0,1.0,2.6000000000000014,1.0999999999999996,15.0,0.399787186527068,7821715.0,2200.0,21294100.0,2649.0,332.0,95.0,317.0,2542.0,,,,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,1051.0,316.0,1018.0
2021,Anhui,安徽,binding,19.3,16.0,16.0,14.0,,,0.0,0.0,0.0,0.0,42565.2,69676.0,6113.0,3363.9,17240.1,21961.1,20858.8,0.4050280510839841,0.5159402516609812,507.0,5740.0,511.0,1707.0,107.0,155.0,2259.0,1128.0,2715.0,8662802.0,8662802.0,80.72,154.5,2741.26,3083.0,106.91,1419576.0,507.0,1707.0,5740.0,8466.0,511.0,,,74.0,545.0,,2715.0,3570.0,88007.0,1565.0,1128.0,4739.0,3955.0,2259.0,100.0,100.0,,15.4,,17.6,524.0,3.3,完成,完成,1.0,2715.0,,9.4,7591.05,3498.19,23.74,12790.8,7.4,14.6,3.7,0.54,7391200.0,6113.0,105240000.0,3631.0,0.5939800425323082,3083.39,,,,,,2715.0,,3.8000000000000007,,,,,2353.0,8662802.0,10.75,88007.0,,,,,,,,,,,,,,,147.75,,,,8.55,44.1,,2870.96,,19880.0,50052.26,9.4,7263.22,14.6,0.62,0.54,,27174650.0,15665430.0,36407347.0,6113.0,3631.0,2730.0,3498.19,7591.05,,3083.39,,,,0.243,1.0,1.5,511.0,1003.0,24.029126213592235,24.598540145985393,106.91,154.5,3083.0,8.479078819331818,2092.1722113502938,1540.3788634097707,2715.0,11.82042833607908,8662802.0,31.907189686924497,11.832691827699904,63.784500014096025,444.1354490430231,,11538.1,,8.11,,73150000.0,2775.42,6069.22,1174.0,2516.0,18.34,294.13,,-3.1,232.1,64414.0,assessed,1.0,1.0,3.3000000000000007,2.0,16.0,0.4050280510839841,8662802.0,2495.0,24068616.0,2014.0,234.0,107.0,196.0,1191.0,,,,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,1302.0,81.0,1145.0
2022,Anhui,安徽,binding,20.5,17.7,18.5,15.3,2.0,2.3999999999999986,1.0,1.0,0.0,0.0,44607.7,72888.0,6127.0,3516.5,17946.8,23144.4,20685.9,0.4023251591093018,0.5188431593648631,622.0,5853.0,590.0,2154.0,117.3,206.06,2142.0,1235.0,2993.0,8918170.0,8918170.0,72.12,206.06,2903.29,3299.0,117.3,1513376.0,622.0,2154.0,5853.0,9219.0,590.0,,,312.0,973.0,,2993.0,3691.0,89476.0,1359.0,1235.0,4894.0,3978.0,2142.0,100.0,100.0,15.25,,17.34,,614.0,2.0,完成,完成,1.0,2993.0,,9.0,8379.78,3589.14,23.8,13400.2,19.6,21.5,22.7,0.54,8206500.0,6127.0,112210000.0,3686.0,0.6015994777215603,3298.77,,,,,,2993.0,,3.8000000000000007,,,,,2611.0,8918170.0,2.95,89476.0,,,,,,,,,,,,,,,147.1,,,,7.11,45.3,,2386.6,,21484.0,56457.8,9.0,6203.48,21.5,0.68,0.54,,27479280.0,15823380.0,36510000.0,6127.0,3686.0,2744.0,3589.14,8379.78,,,,,,0.243,2.5,1.3000000000000007,590.0,1233.0,15.459882583170259,26.18629173989455,117.3,206.06,3299.0,9.801758108517731,1988.135593220339,1671.2084347120845,2993.0,10.23941068139964,8918170.0,29.796759104577347,4.798520857414035,67.09603947300579,488.49355312551006,,47356.9,,8.82,,1242390000.0,13260.88,18533.08,21660.0,9465.0,22.31,,,2.2,317.0,158869.0,assessed,1.0,1.0,2.0,2.3999999999999986,18.5,0.4023251591093018,8918170.0,2574.0,24499608.0,1866.0,255.0,150.0,242.0,1338.0,,,,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,1567.0,302.0,1380.0
2023,Anhui,安徽,binding,22.3,19.3,19.6,16.5,2.7,2.8000000000000007,1.0,1.0,0.0,0.0,47050.6,76830.0,6121.0,3496.6,18871.8,24682.2,21887.7,0.4010958414983018,0.5245884218267143,624.0,6071.0,722.0,3223.0,139.89,269.6,2139.0,1159.0,3214.0,9123216.0,9123216.0,,,,,,1870480.0,624.0,3223.0,6071.0,10640.0,722.0,,,269.0,1472.0,,3214.0,3906.0,95505.0,1381.0,1159.0,5084.0,4001.0,2139.0,100.0,100.0,,,,,,2.7,完成,完成,1.0,3214.0,,4.0,8643.57,3939.16,23.91,14021.1,6.3,20.0,32.0,0.55,9269647.0,6121.0,114400000.0,3765.0,0.6150955726188532,3549.45,,86.6,3053.36,,,3214.0,,3.8000000000000007,,,,,2764.0,9123216.0,2.3,95505.0,,,,,,,,,,,,,,,147.45,,,,7.29,46.1,28.7,,,,,4.0,4676.52,20.0,0.71,0.55,,24737820.0,15696630.0,36020000.0,6121.0,3765.0,2809.0,3939.16,8643.57,,3549.45,3053.36,86.6,,0.243,1.1000000000000014,1.1999999999999993,721.0,1392.0,22.372881355932208,49.628597957288754,139.89,269.6,3549.0,11.538179768949,1940.2219140083207,1936.7816091954023,3214.0,7.38389575676579,9123217.0,28.385864965774733,5.476408781443576,68.30943707412871,525.0776016990687,,29412.1,,3.82,,696770000.0,8600.51,12353.09,,4919.0,12.14,,,16.4,256.9,213561.0,assessed,1.0,1.0,2.7,2.8000000000000007,19.6,0.4010958414983018,9123216.0,3092.0,26576368.0,3020.0,8937.0,222.0,408.0,1901.0,,,,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,2804.0,396.0,2246.0
2024,Anhui,安徽,binding,25.3,22.4,23.3,20.3,2.0,2.099999999999998,1.0,1.0,0.0,0.0999999999999943,50625.2,82694.0,6123.0,3565.6,19607.5,27452.1,22908.4,0.3873071118731383,0.5422615614358067,619.0,6313.0,899.0,4311.0,163.97,422.39,2085.0,1187.0,3598.0,9182399.0,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.9,18.2,,20.6,,,2.0,完成,完成,1.0,3598.0,,4.7,8995.15,4041.21,,,,,,,,6123.0,121540000.0,,,3863.46,,94.52,3182.57,,,3598.0,,3.8000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4016.1,,,,,28890400.0,19719130.0,37480000.0,6123.0,,,4041.21,8995.15,,3863.46,3182.57,94.52,,0.243,3.6999999999999993,3.8000000000000007,899.0,1924.0,24.51523545706371,33.757368910952536,163.97,422.39,3863.0,15.178876520838728,1823.9154616240264,2195.3742203742204,3598.0,11.947728686994408,9182399.0,25.52084213451917,7.597352637373378,71.07132416266998,587.6204474930589,,,,,,86440000.0,4310.05,10325.97,,,,5.05,,,,,assessed,1.0,1.0,2.0,2.099999999999998,23.3,0.3873071118731383,9182399.0,3200.0,32364027.0,2691.0,266.0,45.0,198.0,1127.0,,,24.3,,,main,,,,,497.07180464225394,1.387732441604118,383.3408194054308,0.8923935162593997,3.8000000000000007,3133.0,677.0,2633.0
