analysis,outcome,coef,beta,se,p,n_obs,n_prov
M2_heatseasonXrigidity,wind_curt,heatXrig,1.0885939096152744,0.39537905997477196,0.0058999290043070165,696,29
M2_heatseasonXrigidity,solar_curt,heatXrig,0.950199680080584,0.2440238975215016,9.865362257983783e-05,696,29
M3_summerXrigidity,wind_curt,sumXrig,-1.662749499120209,0.4061093252293817,4.233733564991371e-05,696,29
M3_summerXrigidity,solar_curt,sumXrig,-1.3314437567201687,0.23782000488797966,2.1617005235561156e-08,696,29
M4_month_profile,wind_curt,m1,0.11060515528004145,0.26295524629515593,0.6740300329174471,696,29
M4_month_profile,wind_curt,m2,1.8957349424604097,0.4425643801428385,1.839566219411249e-05,696,29
M4_month_profile,wind_curt,m3,0.8279652312696842,0.30331789767443096,0.006339301974335438,696,29
M4_month_profile,wind_curt,m4,0.8248868155091055,0.14282636221195358,7.674672555992179e-09,696,29
M4_month_profile,wind_curt,m5,1.0561357575860557,0.32280690744781215,0.0010689311014773373,696,29
M4_month_profile,wind_curt,m6,-0.5820191826596067,0.34608969567157705,0.09262694875358457,696,29
M4_month_profile,wind_curt,m7,-1.0410017970178682,0.29244249986850496,0.00037130657986769917,696,29
M4_month_profile,wind_curt,m8,-1.6142132099526156,0.4008166570731962,5.641845891527348e-05,696,29
M4_month_profile,wind_curt,m9,-0.3697788147515284,0.21513514212837775,0.08564695809469658,696,29
M4_month_profile,wind_curt,m10,-0.27318671051388577,0.3027282050258019,0.36683603947583376,696,29
M4_month_profile,wind_curt,m11,0.6054389112739935,0.3218335523268122,0.059942337900955586,696,29
M4_month_profile,wind_curt,m12,0.5752416350777253,0.35573269480220926,0.10586501237477429,696,29
