eq,spec,outcome,weakabs,form,coef,beta,se_cluster,p_cluster,p_wildboot,n_obs,n_prov
T1,triple|wind_curtailment_pct|weak_export|continuous,wind_curtailment_pct,weak_export,continuous,beta1_main,0.21035972259061714,0.15142361730997383,0.16476785944813244,0.175,203,29
T1,triple|wind_curtailment_pct|weak_export|continuous,wind_curtailment_pct,weak_export,continuous,beta2_triple,0.060126675345899806,0.06296780012415638,0.339638526571184,0.346,203,29
T1,triple|wind_curtailment_pct|weak_export|dummy,wind_curtailment_pct,weak_export,dummy,beta1_main,0.21035972259061714,0.15142361730997383,0.16476785944813244,0.173,203,29
T1,triple|wind_curtailment_pct|weak_export|dummy,wind_curtailment_pct,weak_export,dummy,beta2_triple,0.06524220147523471,0.12372441126218642,0.5979722580578027,0.583,203,29
T1,triple|wind_curtailment_pct|heat_rigidity|continuous,wind_curtailment_pct,heat_rigidity,continuous,beta1_main,0.21035972259061714,0.15142361730997383,0.16476785944813244,0.172,203,29
T1,triple|wind_curtailment_pct|heat_rigidity|continuous,wind_curtailment_pct,heat_rigidity,continuous,beta2_triple,0.09471794388533428,0.043825348350559845,0.030675311119709232,0.058,203,29
T1,triple|wind_curtailment_pct|heat_rigidity|dummy,wind_curtailment_pct,heat_rigidity,dummy,beta1_main,0.21035972259061714,0.15142361730997383,0.16476785944813244,0.17,203,29
T1,triple|wind_curtailment_pct|heat_rigidity|dummy,wind_curtailment_pct,heat_rigidity,dummy,beta2_triple,0.09019233747110658,0.11989430152923304,0.45189145696321176,0.44,203,29
T1,triple|wind_curtailment_pct|resource_vol|continuous,wind_curtailment_pct,resource_vol,continuous,beta1_main,0.21035972259061714,0.15142361730997383,0.16476785944813244,0.172,203,29
T1,triple|wind_curtailment_pct|resource_vol|continuous,wind_curtailment_pct,resource_vol,continuous,beta2_triple,-0.09105583541629116,0.06612380869342376,0.16849658096894315,0.17,203,29
